Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $5,850,000  13000x    250x
 0.1%  $5,173,785  11497x    221x
 0.2%  $4,600,047  10222x    196x
 0.3%  $4,111,402   9136x    175x
 0.4%  $3,693,608   8208x    157x
 0.5%  $3,334,975   7411x    142x
 0.6%  $3,025,883   6724x    129x
 0.7%  $2,758,403   6129x    117x
 0.7%  $2,758,403   6129x    117x
 0.9%  $2,323,190   5162x     99x
 0.9%  $2,323,190   5162x     99x
 1.0%  $2,145,521   4767x     91x
 1.2%  $1,851,166   4113x     79x
 1.3%  $1,728,729   3841x     73x
 1.4%  $1,619,716   3599x     69x
 1.5%  $1,522,276   3382x     65x
 1.6%  $1,434,852   3188x     61x
 1.7%  $1,356,122   3013x     57x
 1.8%  $1,284,969   2855x     54x
 1.9%  $1,220,438   2712x     52x
 2.0%  $1,161,718   2581x     49x
 2.1%  $1,108,112   2462x     47x
 2.2%  $1,059,022   2353x     45x
 2.3%  $1,013,935   2253x     43x
 2.4%    $972,406   2160x     41x
 2.5%    $934,049   2075x     39x
 2.6%    $898,530   1996x     38x
 2.7%    $865,557   1923x     36x
 2.8%    $834,875   1855x     35x
 2.9%    $806,261   1791x     34x
 3.0%    $779,518   1732x     33x
 3.1%    $754,473   1676x     32x
 3.2%    $730,972   1624x     31x
 3.3%    $708,879   1575x     30x
 3.4%    $688,074   1529x     29x
 3.5%    $668,448   1485x     28x
 3.6%    $649,906   1444x     27x
 3.7%    $632,361   1405x     27x
 3.8%    $615,735   1368x     26x
 3.9%    $599,958   1333x     25x
 4.0%    $584,968   1299x     24x
 4.1%    $570,707   1268x     24x
 4.2%    $557,124   1238x     23x
 4.3%    $544,171   1209x     23x
 4.4%    $531,807   1181x     22x
 4.5%    $519,991   1155x     22x
 4.6%    $508,689   1130x     21x
 4.6%    $508,689   1130x     21x
 4.7%    $497,867   1106x     21x
 4.8%    $487,496   1083x     20x
 4.9%    $477,548   1061x     20x
 5.0%    $467,998   1039x     19x
 5.1%    $458,822   1019x     19x
 5.2%    $449,999    999x     19x
 5.3%    $441,508    981x     18x
 5.4%    $433,332    962x     18x
 5.5%    $425,454    945x     18x
 5.6%    $417,857    928x     17x
 5.7%    $410,526    912x     17x
 5.8%    $403,448    896x     17x
 5.9%    $396,610    881x     16x
 6.0%    $390,000    866x     16x
 6.1%    $383,606    852x     16x
 6.2%    $377,419    838x     16x
 6.3%    $371,428    825x     15x
 6.4%    $365,625    812x     15x
 6.5%    $360,000    799x     15x
 6.6%    $354,545    787x     15x
 6.7%    $349,254    776x     14x
 6.8%    $344,118    764x     14x
 6.9%    $339,130    753x     14x
 7.0%    $334,286    742x     14x
 7.1%    $329,577    732x     14x
 7.2%    $325,000    722x     13x
 7.3%    $320,548    712x     13x
 7.4%    $316,216    702x     13x
 7.5%    $312,000    693x     13x
 7.6%    $307,895    684x     13x
 7.7%    $303,896    675x     12x
 7.8%    $300,000    666x     12x
 7.9%    $296,203    658x     12x
 8.0%    $292,500    649x     12x
 8.1%    $288,889    641x     12x
 8.2%    $285,366    634x     12x
 8.3%    $281,928    626x     12x
